,고객,감정,리뷰
967,3954.0,좋음,최고의 커피와 분위기 최고
968,3955.0,좋음,"좀 밍밍했지만, 엄청 바쁜 와중에도 눈 마주치면서 인사해주셔서 너무 좋았어요"
969,3956.0,좋음,엄청 친절하고 맛있어요 굿굿
970,3957.0,좋음,자주가는데 항상 친절하세요! 스타벅스 시즌 메뉴가 맛있다는 걸 처음 느끼게 해준 매장입니다
971,3958.0,좋음,조용하고 매우 좋았음
972,3959.0,좋음,좋아요 친절해요.ㅎㅎ
973,3960.0,좋음,마이 아지트 공부하는 유학생이 많지만 ㅋㅋㅋㅋ 난 상관하지 않고 ㅋㅋㅋ그냥 멍때리기 놀기
974,3961.0,나쁨,근데 여기 사람많아요ㅠㅠ
975,3962.0,좋음,친절하고 응대가 좋아요
976,3963.0,좋음,좋아요. 맛나고 친절해요.
977,3964.0,좋음,오늘도 바크콜 먹어요
978,3965.0,좋음,직원분들 다 너무 친절하세요 !
979,3966.0,좋음,스벅은 늘 진리죠!
980,3967.0,좋음,직원친절하고 커피 맛있네요
981,3968.0,좋음,오픈한지 얼마 되지 않은 매장이라 깔끔함
982,3969.0,좋음,가나슈케잌 맛있었어요 일요일은 5시까지밖에 안해서 좀 아쉬웠어요
983,3970.0,좋음,분위기있는스타벅스 굳
984,3971.0,좋음,친절하고 규모도 크고 깔끔함 깊티 받았는데 없는 메뉴도 있어서 별4개
985,3972.0,좋음,직원분 친절하고 매장 쾌적해서 좋습니다. 루꼴라샌드위치 최애
986,3973.0,좋음,엄청친절하세요 공부하기좋아요
987,3974.0,보통,퍼플뱅쇼는 그냥 그랬어요 ㅠㅠ 회사가 밀집되어있다보니 항상 사람이 많은 편입니다
988,3975.0,좋음,스타벅스 추천해요!
989,3976.0,좋음,피지오는 최애음료입니다 매장분위기 좋아요
990,3977.0,좋음,항상 맛나게.먹어요
991,3978.0,나쁨,항상 붐비네요 사람이 많아요
992,3979.0,나쁨,블랙밀크티 맛이라고 했는데 치과맛 나오..
993,3980.0,좋음,주말 아침 여자바리스타 너무 친절하고 좋으세요!
994,3981.0,좋음,항상 웃으며 친절히 맞이해 주셔서 감사해요
995,3982.0,좋음,새음료 나오면 한번씩 들리는데 직원들도 친절하고 커피도 맛나네요
996,3983.0,보통,사람 음청 마늠ㅜㅜ
997,3984.0,좋음,친절하고 스벅 새로나온 제품 먹고 좋아용
998,3985.0,좋음,투고컵 민트칼라 늠 이뻐요
999,3986.0,보통,예전 커피빈에서 스타벅스R점으로 바뀐 곳. 주말에는 항상 자리가 없어서 사이렌 오더로 테이크아웃 해서 나옴! 리저브라 그런지 예전 커피빈 보다는 덜 복잡한 느낌.
1000,3987.0,좋음,디카페인은 스벅이죠
1001,3988.0,좋음,"친절 사람 많음, 진짜 이번 신상 메뉴예쁨ㅎㅎㅎ"
1002,3989.0,좋음,돌체라떼 너무 맛있어요
1003,3990.0,보통,매장이 넓음. 조용하진 않지만 ㄱㅊㄱㅊ.
1004,3991.0,보통,직원 친절했어요 매장도 자리 넉넉 하지만 문이 당기시오 인데 혼자서 케익과 커피 쟁반을 들고 당기기엔.. 넘 벅차네요 가장 아쉬운 부분
1005,3992.0,나쁨,너무 매장이 작고 빵도 재고 없음.
1006,3993.0,보통,넓어서 자주 오는 곳이에요
1007,3994.0,좋음,열공하는 대학생 짱
1008,3995.0,좋음,조용하고 친절해서 좋아요
1009,3996.0,나쁨,좌석이 너무 적어서 못 앉아용 ㅠㅠ
1010,3997.0,나쁨,주말에사람너무많다ㅠ
1011,3998.0,보통,맛있어요 근데비싸 ㅠㅠ
1012,3999.0,좋음,지하와 2층까지 있는 곳. 친절하시고 자리도 많아서 좋아요.
1013,4000.0,좋음,깨끗하고 친절하시고 공간도 매우넉넉합니다!
1014,4001.0,좋음,역에서 바로라 좋아요
1015,4002.0,좋음,도봉구 유일했던 1호 스타벅스... 진짜... 도봉구 무시하지 말라그.. 이젠 2개 있다 구에 통털어서.. ㅋㅋㅋ
1016,4003.0,좋음,철저한 방역 프로세스와 친절하고 신속한 음료처리가 좋아요.
1017,4004.0,좋음,주문 받는분 커피 주시는 분 모두 친절하세요
1018,4005.0,좋음,커피 쿠폰으로 다른 음식을 살 수 있어서 좋아요!
1019,4006.0,좋음,조용히 잘 먹었습니다.
1020,4007.0,좋음,점심시간에 사람 진짜 많네용ㅎㅎ
1021,4008.0,좋음,콜드브루 맛집. ㅋ
1022,4009.0,보통,매장이 작은게 아쉽ㅠㅠ 직원분들 친절하심
1023,4010.0,보통,연수원 가는날 아침 조금 이른시간. 여유를 즐겨봤어요 외관과 다르게 내부가 답답한 인테리어..네요
1024,4011.0,좋음,기분 좋아지는 스터벅스 커피맛 말이 필요없죠
1025,4012.0,좋음,빨리나와요 괜찮아요
1026,4013.0,나쁨,계산하는 직원분이 친절하지 않으세요.
1027,4014.0,좋음,사람 많은 거에 비해서 주문 빨리 나와요
1028,4015.0,보통,그냥 one of 스타벅스.
1029,4016.0,좋음,동네에 생긴 스벅은 건물주뿐 아니라 실상 주민들에게 축복이다..
1030,4017.0,좋음,오래있기 좋은 곳이에요 친절하시네요
1031,4018.0,좋음,좌석두 여유롭고 친절하네요.
1032,4019.0,좋음,맛있어요 커피도 맛있고 케익도 맛있고
1033,4020.0,좋음,석촌호수 앞이라 한적하고 좋아요.커피 한잔 들고 걷기도 좋고 위치 굿! 서비스 굿!
1034,4021.0,좋음,아침엔 줄 살짝 길어용 친절해용
1035,4022.0,좋음,스타벅스 말 안해도 맛있음!!
1036,4023.0,보통,그렇게 쾌적한 분위기는 아닌 것 같네요
1037,4024.0,좋음,직원 친절하구 매장 깨끗해요
1038,4025.0,좋음,역시아메는스벅 좋네요
1039,4026.0,좋음,모닝 아메리카노 아직 아이스 먹기엔 ㅠㅠ 춥네요
1040,4027.0,나쁨,알바가 센스가 좀 없네요
1041,4028.0,좋음,역시 스타벅스...맛있어요
1042,4029.0,좋음,스타벅스 좋지요! 간만에 당충전!!!
1043,4030.0,좋음,매장 넓고 친절해요 텀블러 종류가 다양하게 많아서 좋아요
1044,4031.0,나쁨,쇼파 위생 상태가 아쉬웠음
1045,4032.0,나쁨,회사들 사이에 있어서 그런 지 시끌벅적 합니다 ㅠㅠ... 앉아서 대화하기는 조금 어려울 것 같습니다.. ㅠㅠ
1046,4033.0,좋음,알바분이 엄청친절하세요
1047,4034.0,좋음,조용하고 커피마시기 좋은곳입니다
1048,4035.0,좋음,갸굳 ㅎㅎㅎㅎㅎㅎㅎㅎ
1049,4036.0,좋음,넓진 않지만 여러 층이 있어 괜찮아요 맛은 누구나 아는 그 맛 ! 직원들은 친절합니다
1050,4037.0,좋음,친절하고 다른지점보다 커피가 맛있어요
1051,4038.0,좋음,딸기요거트 맛있어요
1052,4039.0,좋음,친절하고 스벅 항상옳죠
1053,4040.0,나쁨,만원이상 주문시 주차50분 지원되서왔어요. 좋네요 음료는 카페모카랑 그린티라떼가 우유가많이들어갓는지 너무밍밍하네요..다시해달라하고싶지만 귀찮아서 걍먹네요..
1054,4041.0,좋음,주차1시간돼요 ㅎㅎ
1055,4042.0,좋음,삼청동 나들이 할때 들려요
1056,4043.0,보통,콜드브루 라떼가 없음
1057,4044.0,좋음,로또 당첨되면 이곳같은 스벅을 하나 차리고 싶어요.
1058,4045.0,좋음,잘 이용했어요 잘 이용했어요
1059,4046.0,좋음,학원가 근처여서 공부하시는 분들이 정말 많습니다! 그리고 현금없는 매장이니 다른 결제수단을 이용하셔야 합니다
1060,4047.0,좋음,샌드위치 맛잇어서 브런치로 자주먹어용
1061,4048.0,나쁨,평가보고 걱정했는데 아침 타임 직원 분들은 친절하고 커피도 깔끔하게 나왔어요. 다만 아침 일찍 왔는데 화장실 냄새가 조금 나고 파리가 있고 책상에 어제의 잔해들이 남아있는 걸 보고 위생 상태는 그렇게 좋지 않다고 느꼈어요.
1062,4049.0,좋음,테이블 뚝뚝 떨어져 있어 좋으네요.
1063,4050.0,좋음,"아이스 해피 치즈 화이트모카 커피는 무난하지만, 느끼느끼하고 달달꼬수운 치즈휘핑이 맛있었다. 스벅은 항상 베이스는 무난하거나 이상한데 휘핑이나 크럼블같은 추가로 올려주는게 맛있는듯... 장식되어있는 치즈모양 초콜릿도 귀엽다. 커피보단 휘핑만 잔뜩사서 퍼묵퍼묵 하고싶었다."
1064,4051.0,나쁨,엄청추워요 오래 있기에는 별로
1065,4052.0,좋음,깔끔하고 자리간격이 넓어서 좋아요!
1066,4053.0,좋음,또 갔지요 하루 한잔이지요
1067,4054.0,좋음,점심 때는 사람 많아서 오래 기다려야해요
1068,4055.0,좋음,고급스럽고 뷰좋은곳 근데 근처에 리저브없어서 리뉴얼하면 리저브되면 좋겠음
1069,4056.0,좋음,분위기 도 좋코 굿굿
1070,4057.0,좋음,매장 깨끗하고 직원분들 친절하시네욥
1071,4058.0,좋음,머그컵 샀어요 가까워서 자주가는데 스벅은 친절한 직원들이 있어 좋아요
1072,4059.0,좋음,직원분 짱 친절 ㅎㅎㅎ
1073,4060.0,좋음,직원이 친절해자주방문
1074,4061.0,좋음,늘 친절해서 방문하면 기분이 좋아요!
1075,4062.0,좋음,스타벅스 퀄리티 좋아요
1076,4063.0,좋음,까페라떼가 맛있어요
1077,4064.0,좋음,새로나온 애플망고요거트 달달상큼하니 맛있네요
1078,4065.0,나쁨,"아메리카노 10잔 사는데, 혼자 왔으니 백에 담아 달라고 했는데 캐리어 3개에 담아줘서 그거 들고 가느라 팔빠질뻔.애초에 부직포 백이 없었음 주변 다른 스벅을 갔을거임.분명 혼자 왔다고 말했음에도 지들멋대로 하는.. 진짜 커피도 맛없고 진심 시원하고 깔끔해서만 가는집.. 여긴 직원들 순환좀 시켜야 할듯..경복궁역 주변 4군데 매장중 음료맛이 제일 별로.."
1079,4066.0,보통,점심시간에는 사람미 많습니다
1080,4067.0,좋음,스타벅스 아아 좋지
1081,4068.0,좋음,스벅은 언제나 굿!
1082,4069.0,좋음,친절한 안내 좋았습니다!
1083,4070.0,좋음,항상 친절한 직원이 마음에 드는 장소
1084,4071.0,좋음,장소도 넓고 쾌적해서 조용하게 커피 마시기 좋아요
1085,4072.0,좋음,친절하지만 매번 뭔가 아쉬운!
1086,4073.0,나쁨,차세우기가 불편해용
1087,4074.0,보통,매장 넓고 쾌적해요
1088,4075.0,좋음,허니자몽블랙아이스티 넘 맛있음
1089,4076.0,좋음,매장이 커서 좋아요
1090,4077.0,보통,주차가 협소해서 차 있으신분은 디티이용하기에만 좋아요
1091,4078.0,좋음,문턱이 낮아서 유모차 출입이 용이해요. 공간도 넓어서 좋아요. 주차는 이마트에 할 수 있지만 유료에요.
1092,4079.0,좋음,타르트 파인 피치 굿
1093,4080.0,나쁨,마감때라고 주문 건성으로받네
1094,4081.0,좋음,바닐라크림콜드브루는 언제 먹어도 맛있네요 ㅎㅎ 친절하고 좋아요
1095,4082.0,좋음,친절하고 깨끗해요. 커피는 싱거웠어요.
1096,4083.0,좋음,이마트 내에 있는 스타벅스 좋아요
1097,4084.0,좋음,시즌 한정 제품 늦은감 있지만 두개 남아서 다 구매했어요
1098,4085.0,보통,주문체크를 잘 부탁드립니다..
1099,4086.0,나쁨,"장소는 넓어서 쾌적한거 같아요. 그런데 항상 갈 때마다 불친절한건 아닌데 또 엄청 친절한 것도 아닌거 같아요. 화장실 비밀번호를 물어보거나, QR코드 등록 요청받거나 할 때 기분이 유쾌하지 않은 건 왜인지..그리고 나갈 때 인사하는 직원도 항상 한번도 보지 못했는데 이건 제가 방문했던 다른 스벅 매장이 너무 친절해서였겠죠??"
1100,4087.0,좋음,리노베이션후 깔끔해요
1101,4088.0,좋음,출근길에 프리퀀시도 바꾸고 사무실이랑 가까워서 이용하기 좋아요
1102,4089.0,좋음,라떼거품을 잘 올려주세요
1103,4090.0,보통,이 .. 달라졌다ㅠ 직원분들은 너무 친절하시니 5점.. 마카롱 0점.. 정말 900원짜리 마카롱보다도 못한 마카롱이라는...ㅠㅠ 돌덩이마카롱
1104,4091.0,좋음,친절하고 좋아요! ㅎㅎㅎ
1105,4092.0,좋음,친절하시고 커피맛도 좋고 !!ㅎㅎ
1106,4093.0,좋음,스벅은 정말 커피 맛있어요
1107,4094.0,좋음,자주 가는 곳. 솔직히 커피맛은 soso
1108,4095.0,좋음,분위기도 좋고 깔끔하고 좋아요
1109,4096.0,좋음,넓고 공간에 여유가 있다. 좌석이 널럴하다는 이야기는 아니지만 엄청 다닥다닥하거나 시끄러운 느낌은 아니다.
1110,4097.0,좋음,넓고 좋아요 빨리 코로나 끝났으면 좋겠어요
1111,4098.0,나쁨,집 앞이라 어쩔 수 없이 가는 곳 다녀본 수많은 스벅 매장 중 직원들 태도가 제일 별로임 평균적으로 기본적인 서비스 교육 제대로 시키길
1112,4099.0,보통,스벅은 항상 기본은 하죠
1113,4100.0,보통,사람너무많아서 역시 테이크아웃 .. 스벅샌드위치는 짱맛이에여
1114,4101.0,좋음,넘 좋아서 자주가는 곳이에요 ㅎㅎ
1115,4102.0,좋음,항상 친절해서 좋아요
1116,4103.0,좋음,친절해서 스타벅스 좋아해요
1117,4104.0,좋음,스타벅스 좋습니다 ㅎㅎㅎ
1118,4105.0,나쁨,비주얼과 다른 음료가 나와서 매우 당황..
1119,4106.0,좋음,자주 가는 곳 자리 잡기 힘들긴 하지만 메가박스에서 영화 관람할 때나 주위에서 밥먹고 나면 자주 방문합니다.
1120,4107.0,좋음,아 아 아 아 메 리 카 노 좋아 좋아 좋아
1121,4108.0,좋음,매장 크고 넓고 깔끔해요 친절도 하시구요
1122,4109.0,좋음,샌드위치 맛있고 자리도 많고 좋아유
1123,4110.0,보통,서초점 조아요오오오
1124,4111.0,나쁨,원하는 텀블러가 없어서 기존에 가지고 있는 텀블러 그냥 하나 더 구매했어요 선물 포장 요청했는데 다른 매장이랑 다르게 텀블러 감싸는 종이같은거 없이 그냥 텀블러를 바로 스벅 더스트백에 바로 넣어서 종이백에 주더라고요. 음...텀블러가 너무 데굴데굴 굴러다 니는 느낌?안에 종이 꾸겨넣든 감싸서 포장해야지 여긴 포장이 아쉬워도 너무 아쉬웠네요. 정말 선물용으로 샀으면 괜히 그럴...
1125,4112.0,나쁨,카운터보는분 불친절하네요
1126,4113.0,좋음,좋아요좋아요좋아요 스벅커피 넘맛있어요
1127,4114.0,좋음,이미트가면 항상 들리는 곳입니다. 에어컨이 좀 춥긴해요. 커피는 맛나게 만들어주시네요.
1128,4115.0,좋음,스타벅스 커피가 전 제일 맛있네요
1129,4116.0,좋음,영화보러와서 쿠폰으로 마셔요
1130,4117.0,나쁨,테이블 배치가 희한 스타벅스
1131,4118.0,좋음,에그에그샌드위치 존맛
1132,4119.0,좋음,텀블러 사왔어요 . 재고 넉넉해서 좋더라구요.
1133,4120.0,좋음,식사후 아메리카노 한잔
1134,4121.0,좋음,매장이 크지는 않은데 구조가 답답하지 않고 트여서좋아요
1135,4122.0,좋음,회사 앞이라 자주 오네요
1136,4123.0,나쁨,블랙글레이즈드 라떼를 먹고싶엇는데 솔드아웃으로 단호박 리떼를 먹고왔네용 단호박은 너무달고 생각보다 너무 물리는것같아서 아쉬웠어용 ㅜㅜ
1137,4124.0,좋음,자주이용하는 매장입니다 친절하고 음료맛도 좋습니다
1138,4125.0,좋음,직원분들이 밝고 친절합니다.
1139,4126.0,좋음,선물로 기프티콘 구매하면서 이것저것 물어봤는데.. 친절하게 응대해주셔서 좋았어요
1140,4127.0,좋음,역 근처에있어서 편해요
1141,4128.0,좋음,내 최애메뉴입니당 새절역에도 스타벅스가 생겼으면 좋겠다ㅐ
1142,4129.0,좋음,자몽 셔벗 넘 맛있어요 대기도 별로 없고 음료도 빨리 나오고ㅎㅎ
1143,4130.0,좋음,스타벅스는 늘 맛나요
1144,4131.0,좋음,메뉴 나오는 속도가 빠릅니다. 늘 붐벼 자리 찾기가 어려워요
1145,4132.0,좋음,친절해서 좋아요 자주깁니다
1146,4133.0,좋음,강화가기전 들리는곳!
1147,4134.0,좋음,매장도 크고 직원분들도 친절해요! 추천해요
1148,4135.0,좋음,친절하시고 커피가 맛있어요
1149,4136.0,좋음,매장도 크고 괜찮아요
1150,4137.0,좋음,나쁘지 않게 자리도 있고 좋습니다
1151,4138.0,좋음,제가 가본 스타벅스중에서 가장 넓고 통건물에 주차장 까지있고 최고였습니다
1152,4139.0,좋음,"깨끗하고 친절한 아치산점, 바닐라더블샷에 얼음 약간 넣으니 더 시원하고 좋음"
1153,4140.0,좋음,딸기 라떼 신메뉴와 크림품은크로아상 신메뉴 진짜 맛있습니다!!
1154,4141.0,좋음,이마트 장보러 갈때 테이크아웃해서 갑니다 ㅋㅋ
1155,4142.0,좋음,스벅 너무 맛있어요
1156,4143.0,나쁨,오후시간대 여자직원들 하나같이 불친절함
1157,4144.0,보통,불친절하지만 맛과 분위기는 중간이상
1158,4145.0,좋음,자주 재구매하고 있습니다. 좋습니다
1159,4146.0,나쁨,리모델링 했는데 좌석이 다 불편해요
1160,4147.0,좋음,쬬아용 쬬아쬬아쪼아쪼아쪼아쪼아
1161,4148.0,좋음,알바 언니가 엄청 친절하시더라구요!
1162,4149.0,보통,무난해요. 이마트에 사람이 많아선지 여기도 늘 사람이 많네요
1163,4150.0,나쁨,아줌마들이많아서 시끄러워요 조용히 책읽거나 공부하러가기는별로
1164,4151.0,좋음,직원 분이 엄청 친절해요
1165,4152.0,나쁨,사람너무많고 사회적거리두기 전혀 실천이 안되고 있습니다.
1166,4153.0,나쁨,친절하지 않아요. 에스프레소가 싱거워요
1167,4154.0,좋음,무더운 여름엔 프라프치노 9 시원하고 넘넘 맛있어요!!
1168,4155.0,좋음,써비스짱!!커피맛짱!
1169,4156.0,나쁨,콘센트 적은게 아쉽
1170,4157.0,좋음,친절하고 마감시간까지 주문받아서 좋았다.
1171,4158.0,좋음,좋은데 사람이 많네요
1172,4159.0,좋음,자주오는 곳이예요 ㅎㅎ아메리카노 맛있어요
1173,4160.0,좋음,자리 넓은 스타벅스에요 2층까지있어요
1174,4161.0,좋음,자몽허니블랙티 너무 맛있어요 아시죠? 2층도 넓고 조용해서 좋네요
1175,4162.0,좋음,천호대로길동점 스타벅스
1176,4163.0,좋음,피치젤리아이스티 최고!
1177,4164.0,좋음,길쭉한 직사각형 매장
1178,4165.0,좋음,정말 맛있어요 !! 역시 스벅!
1179,4166.0,좋음,그린티프랍은 사랑입니다
1180,4167.0,좋음,스타벅스 천호대로길동점 카라멜마끼야또 너무제취향 분위기도최고
1181,4168.0,나쁨,오늘 오후 2시 50분경 주문 결제 담당 여직원 서비스 아주 불친절합니다.
1182,4169.0,나쁨,오늘 아침팀 정말 손발 안맞음 한명 빼고 세명은 정말 뭘해여 되는지 모르는듯 주문받는 사람도 느리고 휴 지각함 커피 기다리다 아메리카노 시켰는데 음료 나오는 순서도 개판
1183,4170.0,좋음,친절하고 맛있고 가까워서 좋음
1184,4171.0,좋음,역시 스벅 !!!매우 좋습니다 !!!!!
1185,4172.0,좋음,역시 스벅 직원분들 너무 친절하시고 리저브 음료 맛있어요 나이트로 기기가 안된다니 좀 아쉬웠지만 고쳐지면 먹어보고싶네요
1186,4173.0,좋음,시즌 메뉴로 나왔던 시나몬롤은 조금 퍽퍽했고 모히또는 생각했던 맛은 아니었어요 ㅋㅋ 고정메뉴만 먹는걸로..
1187,4174.0,좋음,샌드위치 새로나왔길래 먹어봤는데 맛잇엇어요
1188,4175.0,좋음,직원분들도 친절하시고 음료도 시원하고 맛있네요 집에 가지고 와서 유리빨대를 꽂아서 마시고 있어요
1189,4176.0,나쁨,역대급으로 테이블 간격이 빽빽함. 이런 스벅이 있다니ㅠ ㅠ
1190,4177.0,좋음,"공부하면서 커피마시기 좋아요, 역앞이라 친구만나기도 너무 편합니당"
1191,4178.0,좋음,당근 케잌 맛있어요ㅎㅎ
1192,4179.0,좋음,뷰도 뻥 뚫려있고 사람 많은 것 제외하면 다 좋아요!
1193,4180.0,좋음,좌석은 별로없지만 좋아요
1194,4181.0,좋음,사람많은데 빨리 나와용! 친절해용
1195,4182.0,좋음,자몽티가 먹고 싶을때 가는 스벅
1196,4183.0,좋음,스타벅스 스타벅스 오
1197,4184.0,좋음,자주 애용하는 지점입니다.
1198,4185.0,좋음,딱 스타벅스다운 친절함. 사람이 은근히 많음 주의.
1199,4186.0,좋음,스타벅스 깨끗하고 직원분들이 항상 친절합니다
1200,4187.0,나쁨,계단 올라오자마자 옆자리에 있는 자리 테이블 낮아요
1201,4188.0,좋음,과일도 싱싱하고 맛잇엇습니다
1202,4189.0,좋음,항상 잘 이용하고있습니다.
1203,4190.0,보통,쇼빙하다 힘들어서 한잔
1204,4191.0,좋음,파트너 분들 너무 친절해요
1205,4192.0,나쁨,새로 나온 홀그레인오트라떼는 제 입맛엔 별로였어용..
1206,4193.0,좋음,친절하고 커피맛도 맛있고 내가 좋아하는 티라미수 케이크를 판매하는 곳 전국 스타벅스 직원들의 친절 정형화가 마음에 들어요
1207,4194.0,나쁨,음료수는 너무비싸요ㅠ
1208,4195.0,좋음,"길가에 있어 접근성이 좋고, 매장이 넓다."
1209,4196.0,좋음,친절하고 좋았어요!
1210,4197.0,보통,업장이 좀만 더 크면 좋을 듯
1211,4198.0,보통,매장이 넓은데 그만큼 사람이 많아요. 친절해요
1212,4199.0,나쁨,출근시간에는 더더욱 바쁜 곳이라 음료 받기까지 너무 오래 걸려요. ㅠ
1213,4200.0,좋음,굉장히 깨끗하고 분위기좋아요
1214,4201.0,보통,넓지는 않은데 다른 스벅에 비하면 사람이 좀 적은 편이여서 좋아요. 원래는 화장실도 바로 앞이라 좋았는데 코로나로 인해 조금 돌아가야해요ㅠ
1215,4202.0,좋음,아주 친절하구 매장도 넓어요
1216,4203.0,좋음,자리형태가 다양해서 좋아요
1217,4204.0,나쁨,그렇게 손님맞을거면 5분이나10분전 문닫고 들어가시면좋겠습니다
1218,4205.0,보통,콜드브루는 없어서 아쉽ㅠㅜ
1219,4206.0,좋음,날이 추울 때 스벅 들어가서 뜨아 마셨는게 몸이 녹는 기분이었어용!!
1220,4207.0,나쁨,휘핑 카라멜 많이 주문을 안해주셨네요
1221,4208.0,좋음,주차도 편리하고 직원분이 친절하셔서 좋아요.
1222,4209.0,보통,당분간 19시까지 영업이네요
1223,4210.0,좋음,숙대점도 역시 스벅
1224,4211.0,좋음,필요한걸 구할 수 있어서 좋았어요
1225,4212.0,나쁨,매니저로 추정되는 남자 파트너분이 친절하지 않았어요.
1226,4213.0,좋음,아따마 케이크 사라잇네
1227,4214.0,좋음,스타벅스 에스프레소는 역쉬
1228,4215.0,좋음,사람이 죨랴 많구 맛있당
1229,4216.0,나쁨,매장 더럽고 좁음 거리두기도 안되어있고 너무 복잡
1230,4217.0,좋음,자리도 편하고 좋아요
1231,4218.0,나쁨,코드꼽을 곳이 많이 없어요
1232,4219.0,좋음,케잌 종류가 많아서 맘에 들어요
1233,4220.0,좋음,친절하고 자리간격도 만족
1234,4221.0,좋음,항상 친절하고 커피도 맛있어요
1235,4222.0,좋음,조아요 사람많은데 빨라요
1236,4223.0,나쁨,왜 영수증 리뷰 포인트가 안쌓입니까?
1237,4224.0,좋음,날씨가 좋네요 ㅎㅎㅎ
1238,4225.0,좋음,주문받으시는 분께서 친절하셔서 좋았어요
1239,4226.0,좋음,음료는 언제나 맛있고 매장도 쾌적해요!
1240,4227.0,좋음,디카페인을 먹을수 있는곳이 많지 않네요ㅠㅠ 아이스라떼샷추가 추천합니다.
1241,4228.0,좋음,잘 머무르다 갑니다
1242,4229.0,좋음,직원분들도 친절하고 좋습니다! 주변 스타벅스 보다 매장도 크고 좋아요.
1243,4230.0,좋음,항상친절하고 너무 좋아요
1244,4231.0,좋음,맛있어요 ! 스벅 앞에 전망도 좋고 좋네유
1245,4232.0,좋음,좋아요 위치도 좋네요
1246,4233.0,좋음,포장 빠르고 깔끔하게 잘 해주네요ㅎㅎ 맛있음 곧 사라질 메뉴 아쉽..
1247,4234.0,보통,넓고 깨끗하지만 사람이 넘 많아
1248,4235.0,좋음,코로나 2단계 때문인지 평소에는 제법 붐빌 법한 시간대에도 대기인원이 없었습니다.
1249,4236.0,좋음,분위기가 정말 좋아요
1250,4237.0,보통,썩 깨끗하진 않은데 널찍하고 좋네요
1251,4238.0,나쁨,직원분이 불친절해요
1252,4239.0,나쁨,이날따라 직원들도 정신없으심 ㅠ
1253,4240.0,좋음,항상 친절 너무 조아요 군자 주민인게 뿌듯ㅎㅐ여
1254,4241.0,좋음,좌석도 많고 편해요
1255,4242.0,좋음,좋아여 맛있어요 ㅎㅎ
1256,4243.0,좋음,넓고 쾌적한 매장이 생겨서 너무 좋아요
1257,4244.0,좋음,항상 이용해요 좋아요.
1258,4245.0,좋음,빠른 서비스 젛아요
1259,4246.0,나쁨,늘 사람이 엄청 많아요. 점심시간엔 20잔 넘게 앞에 대기중일때도 있음
1260,4247.0,보통,친절하고 깔끔한...
1261,4248.0,좋음,매장은 작지만 직원분의 응대도 좋았고 음료와 케이크도 맛있었어요
1262,4249.0,좋음,"장보고나서 한숨돌리기 좋네요. 피자먹고 입가심으로도 좋구요. 딸기요거트랑 화이트딸기 구분가능한 맛이였는데, 이날은 아니더라고요. 말씀드리고 다시 해주셨는데 제가좋아하는 화이트딸기맛. 친절하게 대응해서 좋았어요."
1263,4250.0,좋음,스벅은 어디를 가든 갈때마다 행복입니다
1264,4251.0,좋음,크고 친절하고 좋아요
1265,4252.0,좋음,조용하고 주문 후 음료가 빨리 나오네요
1266,4253.0,좋음,맛잇어용ㅎㅎㅎㅎㅎㅎ
1267,4254.0,좋음,넓고 쾌적합니다. 음료 맛있어요
1268,4255.0,좋음,점심 사람이 많아요
1269,4256.0,나쁨,와이파이 드럽게 연결 잘 안 됨! 유튜브 보다가 갑자기 버퍼링 생겨서 보면 와이파이 연결 끊겼어! 스벅은 다 같은 스벅이지 뭐!
1270,4257.0,보통,"친절하고 좋아요, 깔끔하네요"
1271,4258.0,좋음,널찍하고 친절하네요
1272,4259.0,좋음,직원분이 친절하세요 ㅎㅎ
1273,4260.0,좋음,내부가 넓고 깔끔했어요. 늦은 저녁시간 방문이라 그런지 사람도 많지 않은 편이라 만족스러웠습니다.
1274,4261.0,좋음,보통이에요 ㅎㅎㅎㅎ
1275,4262.0,좋음,사람이 많아요 직원이 친절함
1276,4263.0,좋음,간만에 돌체라떼 맛나욥
1277,4264.0,좋음,좋아요 슈크림 라떼는 단맛 적게로
1278,4265.0,좋음,빠르고 조아요 매장 넓어요
1279,4266.0,좋음,직원분들 친절하고 넓음
1280,4267.0,좋음,맛은그냥 그런데 직원분들이 친해요
1281,4268.0,좋음,쌤 간식샀는데 친절하게 해주셨어요!
1282,4269.0,좋음,바빠도 친절하시고 상품도 다양해요
1283,4270.0,나쁨,스타벅스를 자주 방문하지만 ㅠ 을지로4가역 블론드 라떼는 맛이 싱겁네요
1284,4271.0,나쁨,여긴 정말 점심시간때 방문하면 헬게이트에요 ㅜㅜ 자리도 없고 서서 기다리는 사람도 많아요 ㅜ
1285,4272.0,좋음,친절하고 자리도 넓어서 자주 방문해요
1286,4273.0,나쁨,케이크가 말라있었음...
1287,4274.0,좋음,항상가는곳이에요 추천합니다
1288,4275.0,좋음,스벅이 있어서 너무 좋네여
1289,4276.0,좋음,서버분들 친절한데 사람 많을땐 오래걸립니닷
1290,4277.0,좋음,자리도 많고 음료도 괜찮다 디카페인 매뉴가 있어서 좋다
1291,4278.0,보통,직원분 친절하시당... 비가 와서 그런가 좀 시끄럽고 춥당
1292,4279.0,보통,협소하긴해요 좋아요
1293,4280.0,나쁨,직원이 좀 불친절하네요
1294,4281.0,좋음,항상오는데 사람많아요
1295,4282.0,좋음,테이블 간격이 넓어서 좋아요
